
> dev
> next dev

▲ Next.js 16.3.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.0.0.178:3000
- Environments: .env.local
✓ Ready in 291ms
✓ Running next.config.ts took 21ms
- Cache Components enabled

 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 16ms (next.js: 2ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 3ms, proxy.ts: 2.0ms, application-code: 14ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 16ms (next.js: 2ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 16ms (next.js: 2.0ms, proxy.ts: 2ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 21ms (next.js: 3ms, proxy.ts: 3ms, application-code: 15ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 4ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 3ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 16ms (next.js: 3ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 17ms (next.js: 2ms, proxy.ts: 2ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 19ms (next.js: 4ms, proxy.ts: 5ms, application-code: 11ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 15ms (next.js: 3ms, proxy.ts: 1.9ms, application-code: 11ms)
 GET /game/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 30ms (next.js: 2ms, proxy.ts: 2ms, generate-params: 1.1ms, application-code: 24ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 19ms (next.js: 2ms, proxy.ts: 3ms, application-code: 14ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 16ms (next.js: 2ms, proxy.ts: 2ms, application-code: 11ms)
 GET /game/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 38ms (next.js: 1.9ms, proxy.ts: 3ms, generate-params: 1.4ms, application-code: 32ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 14ms (next.js: 3ms, proxy.ts: 2ms, application-code: 10ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 13ms (next.js: 1.9ms, proxy.ts: 3ms, application-code: 9ms)
 GET /game/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 28ms (next.js: 2.0ms, proxy.ts: 2ms, generate-params: 1.2ms, application-code: 23ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 30ms (next.js: 5ms, proxy.ts: 6ms, application-code: 20ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 27ms (next.js: 3ms, proxy.ts: 3ms, application-code: 21ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 17ms (next.js: 4ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 17ms (next.js: 1.7ms, proxy.ts: 2ms, application-code: 13ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 17ms (next.js: 1.8ms, proxy.ts: 2.0ms, application-code: 13ms)
 POST /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35/actions 500 in 498ms (next.js: 475ms, proxy.ts: 3ms, application-code: 20ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 4ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 15ms (next.js: 2.0ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 15ms (next.js: 2ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 27ms (next.js: 4ms, proxy.ts: 6ms, application-code: 17ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 16ms (next.js: 3ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 14ms (next.js: 1.8ms, proxy.ts: 3ms, application-code: 10ms)
